Frame,Time,LinearDisplacement6,LinearDisplacement7,AngularDisplacement4,AngularVelocity1,AngularVelocity2,AngularVelocity3
418,3.342,4.81E+02,2.62E+02,-8.04E+01,-2.60E+01,-3.07E+00,-1.88E+01
419,3.352,4.81E+02,2.62E+02,-8.06E+01,-2.53E+01,-3.32E+00,-1.82E+01
420,3.36,4.81E+02,2.62E+02,-8.08E+01,-2.48E+01,-3.51E+00,-1.78E+01
421,3.362,4.81E+02,2.62E+02,-8.09E+01,-2.47E+01,-3.55E+00,-1.77E+01
422,3.372,4.82E+02,2.62E+02,-8.11E+01,-2.32E+01,-3.76E+00,-1.71E+01
423,3.382,4.82E+02,2.62E+02,-8.13E+01,-2.32E+01,-3.97E+00,-1.66E+01
424,3.392,4.82E+02,2.62E+02,-8.16E+01,-2.26E+01,-4.15E+00,-1.61E+01
425,3.4,4.82E+02,2.62E+02,-8.17E+01,-1.69E+01,-4.31E+00,-1.57E+01
426,3.402,4.83E+02,2.62E+02,-8.18E+01,-1.57E+01,-4.34E+00,-1.56E+01
427,3.412,4.83E+02,2.62E+02,-8.19E+01,-1.48E+01,-4.54E+00,-1.52E+01
428,3.422,4.83E+02,2.62E+02,-8.21E+01,-1.40E+01,-4.74E+00,-1.48E+01
429,3.432,4.83E+02,2.62E+02,-8.22E+01,-1.92E+01,-4.91E+00,-1.44E+01
430,3.44,4.84E+02,2.62E+02,-8.24E+01,-1.87E+01,-5.03E+00,-1.40E+01
431,3.442,4.84E+02,2.62E+02,-8.24E+01,-1.88E+01,-5.05E+00,-1.40E+01
432,3.452,4.84E+02,2.62E+02,-8.26E+01,-1.82E+01,-5.19E+00,-1.35E+01
433,3.462,4.84E+02,2.62E+02,-8.28E+01,-1.73E+01,-5.32E+00,-1.31E+01
434,3.472,4.85E+02,2.62E+02,-8.30E+01,-1.63E+01,-5.44E+00,-1.27E+01
435,3.48,4.85E+02,2.62E+02,-8.31E+01,-1.54E+01,-5.54E+00,-1.23E+01
436,3.482,4.85E+02,2.62E+02,-8.31E+01,-1.55E+01,-5.56E+00,-1.22E+01
437,3.492,4.85E+02,2.62E+02,-8.33E+01,-1.46E+01,-5.67E+00,-1.18E+01
438,3.502,4.86E+02,2.62E+02,-8.34E+01,-1.38E+01,-5.77E+00,-1.15E+01
439,3.512,4.86E+02,2.62E+02,-8.35E+01,-1.30E+01,-5.83E+00,-1.11E+01
440,3.52,4.86E+02,2.62E+02,-8.36E+01,-1.24E+01,-5.87E+00,-1.08E+01
441,3.522,4.86E+02,2.62E+02,-8.37E+01,-1.25E+01,-5.88E+00,-1.07E+01
442,3.532,4.86E+02,2.62E+02,-8.38E+01,-1.14E+01,-5.93E+00,-1.04E+01
443,3.542,4.87E+02,2.62E+02,-8.39E+01,-1.09E+01,-5.99E+00,-1.01E+01
444,3.552,4.87E+02,2.62E+02,-8.40E+01,-1.01E+01,-6.07E+00,-9.79E+00
445,3.56,4.87E+02,2.62E+02,-8.40E+01,-9.17E+00,-6.12E+00,-9.54E+00
446,3.562,4.87E+02,2.62E+02,-8.41E+01,-9.00E+00,-6.13E+00,-9.48E+00
447,3.572,4.88E+02,2.62E+02,-8.41E+01,-8.05E+00,-6.20E+00,-9.19E+00
448,3.582,4.88E+02,2.62E+02,-8.42E+01,-7.19E+00,-6.27E+00,-8.91E+00
449,3.592,4.88E+02,2.62E+02,-8.43E+01,-6.45E+00,-6.34E+00,-8.64E+00
450,3.6,4.89E+02,2.63E+02,-8.43E+01,-5.73E+00,-6.41E+00,-8.43E+00
451,3.602,4.89E+02,2.63E+02,-8.44E+01,-5.25E+00,-6.42E+00,-8.39E+00
452,3.612,4.89E+02,2.63E+02,-8.44E+01,-5.59E+00,-6.51E+00,-8.15E+00
453,3.622,4.89E+02,2.63E+02,-8.44E+01,-3.77E+00,-6.60E+00,-7.92E+00
454,3.632,4.90E+02,2.63E+02,-8.45E+01,-2.96E+00,-6.71E+00,-7.70E+00
455,3.64,4.90E+02,2.63E+02,-8.45E+01,-2.03E+00,-6.80E+00,-7.53E+00
456,3.642,4.90E+02,2.63E+02,-8.45E+01,-1.92E+00,-6.82E+00,-7.49E+00
457,3.652,4.90E+02,2.63E+02,-8.45E+01,-1.15E+00,-6.95E+00,-7.29E+00
458,3.662,4.91E+02,2.63E+02,-8.45E+01,1.53E-01,-7.08E+00,-7.10E+00
459,3.672,4.91E+02,2.63E+02,-8.45E+01,9.20E-01,-7.23E+00,-6.93E+00
460,3.68,4.91E+02,2.63E+02,-8.45E+01,1.44E+00,-7.37E+00,-6.79E+00
461,3.682,4.91E+02,2.63E+02,-8.45E+01,2.02E+00,-7.40E+00,-6.76E+00
462,3.692,4.92E+02,2.63E+02,-8.45E+01,3.02E+00,-7.57E+00,-6.59E+00
463,3.702,4.92E+02,2.63E+02,-8.45E+01,3.65E+00,-7.76E+00,-6.44E+00
464,3.712,4.92E+02,2.63E+02,-8.44E+01,4.79E+00,-7.97E+00,-6.29E+00
465,3.72,4.93E+02,2.63E+02,-8.44E+01,6.07E+00,-8.15E+00,-6.17E+00
466,3.722,4.93E+02,2.63E+02,-8.44E+01,5.77E+00,-8.19E+00,-6.14E+00
467,3.732,4.93E+02,2.63E+02,-8.43E+01,3.25E+00,-8.43E+00,-6.00E+00
468,3.742,4.93E+02,2.63E+02,-8.43E+01,1.94E+00,-8.60E+00,-5.81E+00
469,3.752,4.93E+02,2.63E+02,-8.42E+01,8.79E+00,-8.85E+00,-5.66E+00
470,3.76,4.94E+02,2.63E+02,-8.41E+01,9.78E+00,-9.09E+00,-5.55E+00
471,3.762,4.94E+02,2.63E+02,-8.41E+01,9.86E+00,-9.15E+00,-5.53E+00
472,3.772,4.94E+02,2.63E+02,-8.40E+01,1.09E+01,-9.46E+00,-5.40E+00
473,3.782,4.94E+02,2.63E+02,-8.39E+01,1.19E+01,-9.80E+00,-5.26E+00
474,3.792,4.95E+02,2.63E+02,-8.38E+01,1.30E+01,-1.02E+01,-5.13E+00
475,3.8,4.95E+02,2.63E+02,-8.37E+01,1.37E+01,-1.05E+01,-5.02E+00
476,3.802,4.95E+02,2.63E+02,-8.36E+01,1.40E+01,-1.05E+01,-4.99E+00
477,3.812,4.95E+02,2.63E+02,-8.35E+01,1.49E+01,-1.10E+01,-4.85E+00
478,3.822,4.96E+02,2.63E+02,-8.33E+01,1.60E+01,-1.14E+01,-4.71E+00
479,3.832,4.96E+02,2.63E+02,-8.32E+01,1.71E+01,-1.18E+01,-4.55E+00
480,3.84,4.96E+02,2.63E+02,-8.30E+01,1.78E+01,-1.22E+01,-4.42E+00
481,3.842,4.96E+02,2.63E+02,-8.30E+01,1.80E+01,-1.23E+01,-4.39E+00
482,3.852,4.97E+02,2.63E+02,-8.28E+01,1.91E+01,-1.28E+01,-4.22E+00
483,3.862,4.97E+02,2.63E+02,-8.26E+01,2.03E+01,-1.34E+01,-4.04E+00
484,3.872,4.97E+02,2.63E+02,-8.24E+01,2.13E+01,-1.40E+01,-3.85E+00
485,3.88,4.97E+02,2.63E+02,-8.22E+01,2.23E+01,-1.44E+01,-3.69E+00
486,3.882,4.97E+02,2.63E+02,-8.22E+01,2.22E+01,-1.46E+01,-3.65E+00
487,3.892,4.98E+02,2.64E+02,-8.20E+01,2.35E+01,-1.52E+01,-3.43E+00
488,3.902,4.98E+02,2.64E+02,-8.17E+01,2.45E+01,-1.59E+01,-3.21E+00
489,3.912,4.98E+02,2.64E+02,-8.15E+01,2.52E+01,-1.66E+01,-2.96E+00
490,3.92,4.98E+02,2.64E+02,-8.13E+01,2.63E+01,-1.71E+01,-2.75E+00
491,3.922,4.99E+02,2.64E+02,-8.12E+01,2.65E+01,-1.73E+01,-2.70E+00
492,3.932,4.99E+02,2.64E+02,-8.10E+01,2.77E+01,-1.80E+01,-2.42E+00
493,3.942,4.99E+02,2.64E+02,-8.07E+01,2.88E+01,-1.88E+01,-2.13E+00
494,3.952,4.99E+02,2.64E+02,-8.04E+01,2.97E+01,-1.97E+01,-1.81E+00
495,3.96,5.00E+02,2.64E+02,-8.01E+01,3.05E+01,-2.04E+01,-1.54E+00
496,3.962,5.00E+02,2.64E+02,-8.01E+01,3.03E+01,-2.06E+01,-1.48E+00
497,3.972,5.00E+02,2.64E+02,-7.98E+01,3.18E+01,-2.15E+01,-1.12E+00
498,3.982,5.00E+02,2.64E+02,-7.94E+01,3.28E+01,-2.24E+01,-7.41E-01
499,3.992,5.00E+02,2.64E+02,-7.91E+01,3.39E+01,-2.34E+01,-3.41E-01
500,4,5.01E+02,2.64E+02,-7.88E+01,3.47E+01,-2.42E+01,1.88E-13
501,4.002,5.01E+02,2.64E+02,-7.88E+01,3.49E+01,-2.44E+01,8.32E-02
502,4.012,5.01E+02,2.64E+02,-7.84E+01,3.59E+01,-2.55E+01,5.31E-01
503,4.022,5.01E+02,2.64E+02,-7.80E+01,3.69E+01,-2.66E+01,1.00E+00
504,4.032,5.02E+02,2.64E+02,-7.77E+01,3.81E+01,-2.77E+01,1.50E+00
505,4.04,5.02E+02,2.64E+02,-7.74E+01,3.90E+01,-2.87E+01,1.92E+00
506,4.042,5.02E+02,2.64E+02,-7.73E+01,3.90E+01,-2.89E+01,2.02E+00
507,4.052,5.02E+02,2.64E+02,-7.69E+01,4.01E+01,-3.01E+01,2.58E+00
508,4.062,5.02E+02,2.64E+02,-7.65E+01,4.11E+01,-3.14E+01,3.15E+00
509,4.072,5.03E+02,2.64E+02,-7.61E+01,4.24E+01,-3.27E+01,3.76E+00
510,4.08,5.03E+02,2.65E+02,-7.57E+01,4.29E+01,-3.38E+01,4.27E+00
511,4.082,5.03E+02,2.65E+02,-7.56E+01,4.31E+01,-3.40E+01,4.40E+00
512,4.092,5.03E+02,2.65E+02,-7.52E+01,4.40E+01,-3.54E+01,5.07E+00
513,4.102,5.03E+02,2.65E+02,-7.48E+01,4.54E+01,-3.69E+01,5.77E+00
514,4.112,5.04E+02,2.65E+02,-7.43E+01,4.61E+01,-3.83E+01,6.50E+00
515,4.12,5.04E+02,2.65E+02,-7.39E+01,4.45E+01,-3.96E+01,7.11E+00
516,4.122,5.04E+02,2.65E+02,-7.39E+01,4.34E+01,-3.99E+01,7.26E+00
517,4.132,5.04E+02,2.65E+02,-7.34E+01,4.80E+01,-4.14E+01,8.05E+00
518,4.142,5.04E+02,2.65E+02,-7.29E+01,4.90E+01,-4.30E+01,8.88E+00
519,4.152,5.05E+02,2.65E+02,-7.24E+01,5.00E+01,-4.47E+01,9.75E+00
520,4.16,5.05E+02,2.65E+02,-7.20E+01,5.12E+01,-4.60E+01,1.05E+01
521,4.162,5.05E+02,2.65E+02,-7.19E+01,5.06E+01,-4.64E+01,1.07E+01
522,4.172,5.05E+02,2.65E+02,-7.14E+01,5.20E+01,-4.81E+01,1.16E+01
523,4.182,5.05E+02,2.65E+02,-7.09E+01,5.29E+01,-4.99E+01,1.26E+01
524,4.192,5.05E+02,2.65E+02,-7.03E+01,5.39E+01,-5.18E+01,1.36E+01
525,4.2,5.06E+02,2.65E+02,-6.99E+01,5.47E+01,-5.33E+01,1.44E+01
526,4.202,5.06E+02,2.66E+02,-6.98E+01,5.49E+01,-5.36E+01,1.46E+01
527,4.212,5.06E+02,2.66E+02,-6.92E+01,5.59E+01,-5.56E+01,1.57E+01
528,4.222,5.06E+02,2.66E+02,-6.87E+01,5.69E+01,-5.76E+01,1.69E+01
529,4.232,5.06E+02,2.66E+02,-6.81E+01,5.78E+01,-5.96E+01,1.80E+01
530,4.24,5.07E+02,2.66E+02,-6.76E+01,5.86E+01,-6.13E+01,1.90E+01
531,4.242,5.07E+02,2.66E+02,-6.75E+01,5.89E+01,-6.17E+01,1.92E+01
532,4.252,5.07E+02,2.66E+02,-6.69E+01,5.98E+01,-6.38E+01,2.05E+01
533,4.262,5.07E+02,2.66E+02,-6.63E+01,6.06E+01,-6.60E+01,2.18E+01
534,4.272,5.07E+02,2.66E+02,-6.57E+01,6.18E+01,-6.82E+01,2.31E+01
535,4.28,5.07E+02,2.66E+02,-6.52E+01,6.18E+01,-7.00E+01,2.42E+01
536,4.282,5.07E+02,2.66E+02,-6.51E+01,6.31E+01,-7.05E+01,2.45E+01
537,4.292,5.08E+02,2.66E+02,-6.45E+01,6.49E+01,-7.28E+01,2.59E+01
538,4.302,5.08E+02,2.66E+02,-6.38E+01,6.45E+01,-7.52E+01,2.74E+01
539,4.312,5.08E+02,2.67E+02,-6.32E+01,6.58E+01,-7.76E+01,2.89E+01
540,4.32,5.08E+02,2.67E+02,-6.26E+01,6.38E+01,-7.95E+01,3.01E+01
541,4.322,5.08E+02,2.67E+02,-6.25E+01,6.41E+01,-8.00E+01,3.04E+01
542,4.332,5.09E+02,2.67E+02,-6.18E+01,6.75E+01,-8.25E+01,3.20E+01
543,4.342,5.09E+02,2.67E+02,-6.12E+01,6.77E+01,-8.50E+01,3.36E+01
544,4.352,5.09E+02,2.67E+02,-6.05E+01,6.93E+01,-8.76E+01,3.53E+01
545,4.36,5.09E+02,2.67E+02,-5.99E+01,7.00E+01,-8.97E+01,3.67E+01
546,4.362,5.09E+02,2.67E+02,-5.98E+01,7.06E+01,-9.02E+01,3.70E+01
547,4.372,5.09E+02,2.67E+02,-5.91E+01,7.09E+01,-9.29E+01,3.88E+01
548,4.382,5.09E+02,2.67E+02,-5.84E+01,7.21E+01,-9.56E+01,4.06E+01
549,4.392,5.10E+02,2.68E+02,-5.76E+01,7.33E+01,-9.84E+01,4.25E+01
550,4.4,5.10E+02,2.68E+02,-5.71E+01,7.18E+01,-1.01E+02,4.39E+01
551,4.402,5.10E+02,2.68E+02,-5.69E+01,7.41E+01,-1.01E+02,4.43E+01
552,4.412,5.10E+02,2.68E+02,-5.62E+01,7.48E+01,-1.04E+02,4.63E+01
553,4.422,5.10E+02,2.68E+02,-5.54E+01,7.39E+01,-1.07E+02,4.83E+01
554,4.432,5.10E+02,2.68E+02,-5.47E+01,7.70E+01,-1.10E+02,5.03E+01
555,4.44,5.11E+02,2.68E+02,-5.41E+01,7.74E+01,-1.12E+02,5.19E+01
556,4.442,5.11E+02,2.68E+02,-5.39E+01,7.80E+01,-1.13E+02,5.24E+01
557,4.452,5.11E+02,2.68E+02,-5.31E+01,7.86E+01,-1.16E+02,5.45E+01
558,4.462,5.11E+02,2.68E+02,-5.23E+01,7.97E+01,-1.19E+02,5.67E+01
559,4.472,5.11E+02,2.69E+02,-5.15E+01,7.77E+01,-1.22E+02,5.89E+01
560,4.48,5.11E+02,2.69E+02,-5.09E+01,8.15E+01,-1.24E+02,6.06E+01
561,4.482,5.11E+02,2.69E+02,-5.07E+01,8.19E+01,-1.25E+02,6.11E+01
562,4.492,5.11E+02,2.69E+02,-4.99E+01,8.25E+01,-1.28E+02,6.34E+01
563,4.502,5.12E+02,2.69E+02,-4.91E+01,8.35E+01,-1.31E+02,6.58E+01
564,4.512,5.12E+02,2.69E+02,-4.82E+01,8.43E+01,-1.34E+02,6.82E+01
565,4.52,5.12E+02,2.69E+02,-4.76E+01,8.13E+01,-1.36E+02,7.00E+01
566,4.522,5.12E+02,2.69E+02,-4.74E+01,8.43E+01,-1.37E+02,7.06E+01
567,4.532,5.12E+02,2.69E+02,-4.66E+01,8.26E+01,-1.40E+02,7.30E+01
568,4.542,5.12E+02,2.70E+02,-4.57E+01,8.67E+01,-1.43E+02,7.55E+01
569,4.552,5.12E+02,2.70E+02,-4.48E+01,8.76E+01,-1.46E+02,7.81E+01
570,4.56,5.12E+02,2.70E+02,-4.42E+01,8.83E+01,-1.48E+02,8.01E+01
571,4.562,5.12E+02,2.70E+02,-4.40E+01,8.84E+01,-1.48E+02,8.07E+01
572,4.572,5.13E+02,2.70E+02,-4.31E+01,8.92E+01,-1.51E+02,8.33E+01
573,4.582,5.13E+02,2.70E+02,-4.22E+01,8.99E+01,-1.54E+02,8.59E+01
574,4.592,5.13E+02,2.70E+02,-4.13E+01,8.98E+01,-1.57E+02,8.86E+01
575,4.6,5.13E+02,2.70E+02,-4.06E+01,9.10E+01,-1.60E+02,9.07E+01
576,4.602,5.13E+02,2.70E+02,-4.04E+01,9.09E+01,-1.60E+02,9.13E+01
577,4.612,5.13E+02,2.71E+02,-3.94E+01,9.26E+01,-1.63E+02,9.41E+01
578,4.622,5.13E+02,2.71E+02,-3.85E+01,9.24E+01,-1.66E+02,9.68E+01
579,4.632,5.13E+02,2.71E+02,-3.76E+01,9.39E+01,-1.69E+02,9.96E+01
580,4.64,5.13E+02,2.71E+02,-3.69E+01,9.50E+01,-1.71E+02,1.02E+02
581,4.642,5.13E+02,2.71E+02,-3.66E+01,9.50E+01,-1.72E+02,1.02E+02
582,4.652,5.14E+02,2.71E+02,-3.57E+01,9.58E+01,-1.75E+02,1.05E+02
583,4.662,5.14E+02,2.71E+02,-3.47E+01,9.66E+01,-1.78E+02,1.08E+02
584,4.672,5.14E+02,2.71E+02,-3.38E+01,9.75E+01,-1.81E+02,1.11E+02
585,4.68,5.14E+02,2.71E+02,-3.30E+01,9.80E+01,-1.83E+02,1.13E+02
586,4.682,5.14E+02,2.71E+02,-3.28E+01,9.83E+01,-1.83E+02,1.14E+02
587,4.692,5.14E+02,2.72E+02,-3.18E+01,9.90E+01,-1.86E+02,1.17E+02
588,4.702,5.14E+02,2.72E+02,-3.08E+01,9.90E+01,-1.89E+02,1.20E+02
589,4.712,5.14E+02,2.72E+02,-2.98E+01,1.00E+02,-1.92E+02,1.23E+02
590,4.72,5.14E+02,2.72E+02,-2.90E+01,1.01E+02,-1.94E+02,1.25E+02
591,4.722,5.14E+02,2.72E+02,-2.88E+01,1.01E+02,-1.95E+02,1.26E+02
592,4.732,5.14E+02,2.72E+02,-2.78E+01,1.00E+02,-1.98E+02,1.29E+02
593,4.742,5.14E+02,2.72E+02,-2.68E+01,1.01E+02,-2.00E+02,1.32E+02
594,4.752,5.14E+02,2.72E+02,-2.58E+01,1.04E+02,-2.03E+02,1.35E+02
595,4.76,5.14E+02,2.72E+02,-2.50E+01,1.05E+02,-2.05E+02,1.37E+02
596,4.762,5.14E+02,2.73E+02,-2.47E+01,1.03E+02,-2.06E+02,1.38E+02
597,4.772,5.15E+02,2.73E+02,-2.37E+01,1.06E+02,-2.08E+02,1.41E+02
598,4.782,5.15E+02,2.73E+02,-2.26E+01,1.07E+02,-2.11E+02,1.44E+02
599,4.792,5.15E+02,2.73E+02,-2.16E+01,1.09E+02,-2.13E+02,1.47E+02
600,4.8,5.15E+02,2.73E+02,-2.07E+01,1.08E+02,-2.15E+02,1.49E+02
601,4.802,5.15E+02,2.73E+02,-2.05E+01,1.08E+02,-2.16E+02,1.50E+02
602,4.812,5.15E+02,2.73E+02,-1.94E+01,1.07E+02,-2.18E+02,1.52E+02
603,4.822,5.15E+02,2.73E+02,-1.83E+01,1.10E+02,-2.20E+02,1.55E+02
604,4.832,5.15E+02,2.73E+02,-1.72E+01,1.11E+02,-2.23E+02,1.58E+02
605,4.84,5.15E+02,2.73E+02,-1.64E+01,1.06E+02,-2.25E+02,1.60E+02
606,4.842,5.15E+02,2.73E+02,-1.61E+01,1.06E+02,-2.25E+02,1.61E+02
607,4.852,5.15E+02,2.73E+02,-1.51E+01,1.06E+02,-2.27E+02,1.64E+02
608,4.862,5.15E+02,2.74E+02,-1.40E+01,1.13E+02,-2.29E+02,1.67E+02
609,4.872,5.15E+02,2.74E+02,-1.28E+01,1.14E+02,-2.31E+02,1.69E+02
610,4.88,5.15E+02,2.74E+02,-1.20E+01,1.15E+02,-2.33E+02,1.72E+02
611,4.882,5.15E+02,2.74E+02,-1.17E+01,1.14E+02,-2.33E+02,1.72E+02
612,4.892,5.15E+02,2.74E+02,-1.06E+01,1.16E+02,-2.35E+02,1.75E+02
613,4.902,5.15E+02,2.74E+02,-9.39E+00,1.18E+02,-2.37E+02,1.77E+02
614,4.912,5.15E+02,2.74E+02,-8.22E+00,1.18E+02,-2.39E+02,1.80E+02
615,4.92,5.15E+02,2.74E+02,-7.33E+00,1.18E+02,-2.40E+02,1.82E+02
616,4.922,5.15E+02,2.74E+02,-7.04E+00,1.18E+02,-2.40E+02,1.83E+02
617,4.932,5.15E+02,2.74E+02,-5.85E+00,1.19E+02,-2.42E+02,1.85E+02
618,4.942,5.15E+02,2.74E+02,-4.65E+00,1.20E+02,-2.43E+02,1.87E+02
619,4.952,5.15E+02,2.74E+02,-3.45E+00,1.21E+02,-2.45E+02,1.90E+02
620,4.96,5.15E+02,2.75E+02,-2.52E+00,1.21E+02,-2.46E+02,1.92E+02
621,4.962,5.15E+02,2.75E+02,-2.23E+00,1.22E+02,-2.46E+02,1.92E+02
622,4.972,5.15E+02,2.75E+02,-1.01E+00,1.22E+02,-2.47E+02,1.94E+02
623,4.982,5.15E+02,2.75E+02,2.20E-01,1.25E+02,-2.48E+02,1.96E+02
624,4.992,5.15E+02,2.75E+02,1.45E+00,1.24E+02,-2.49E+02,1.98E+02
625,5,5.15E+02,2.75E+02,2.39E+00,1.25E+02,-2.50E+02,2.00E+02